#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1qb7a_c.61.1.1      -            236 d1a3ca_c.61.1.1.aln  -            207   8.2e-55  181.0   0.0   1   1   1.6e-56   9.2e-55  180.8   0.0     2   205     7   205     6   207 0.98 -
d1xtta1c.61.1.1      -            215 d1a3ca_c.61.1.1.aln  -            207   2.7e-49  162.9   3.0   1   1   5.5e-51   3.1e-49  162.8   3.0     2   205     8   215     7   215 0.99 -
d1ecfa1c.61.1.1      -            243 d1a3ca_c.61.1.1.aln  -            207   4.5e-47  155.7   0.2   1   1   9.2e-49   5.2e-47  155.5   0.2     1   205     6   213     6   215 0.99 -
d1dqna_c.61.1.1      -            230 d1a3ca_c.61.1.1.aln  -            207   1.3e-43  144.4   0.1   1   1   2.7e-45   1.5e-43  144.2   0.1     2   206     1   208     1   209 0.98 -
d1y0ba1c.61.1.1      -            191 d1a3ca_c.61.1.1.aln  -            207   2.4e-27   91.3   0.1   1   1   4.5e-29   2.6e-27   91.2   0.1    16   198     3   184     1   191 0.96 -
d2aeea1c.61.1.1      -            208 d1a3ca_c.61.1.1.aln  -            207   6.3e-27   89.9   0.1   1   1   1.3e-28   7.3e-27   89.7   0.1     3   197     4   196     1   205 0.95 -
d1vdma1c.61.1.1      -            153 d1a3ca_c.61.1.1.aln  -            207   6.4e-26   86.6   1.8   1   1   2.9e-27   1.6e-25   85.3   1.8    11   189     1   152     1   153 0.92 -
d1wd5a_c.61.1.1      -            208 d1a3ca_c.61.1.1.aln  -            207   2.7e-25   84.6   2.3   1   1   5.1e-27   2.9e-25   84.5   2.3     3   203     5   206     2   208 0.97 -
d1p4aa2c.61.1.1      -            202 d1a3ca_c.61.1.1.aln  -            207     8e-25   83.0   0.1   1   1   1.5e-26   8.7e-25   82.9   0.1    13   204     2   195     1   198 0.96 -
d1nula_c.61.1.1      -            150 d1a3ca_c.61.1.1.aln  -            207     9e-18   60.0   0.0   1   1   5.3e-19     3e-17   58.3   0.0    12   179     1   141     1   146 0.88 -
d1vcha1c.61.1.1      -            174 d1a3ca_c.61.1.1.aln  -            207   1.9e-17   58.9   0.4   1   1   3.9e-19   2.2e-17   58.7   0.4    14   173     3   160     1   173 0.94 -
d1a3ca_c.61.1.1      -            178 d1a3ca_c.61.1.1.aln  -            207   1.8e-15   52.5   2.3   1   1   3.6e-17     2e-15   52.3   2.3    30   190    21   177     3   178 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels95/d1a3ca_c.61.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels95/d1a3ca_c.61.1.1.out -E 1 hmmModels95/d1a3ca_c.61.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /users/nfs/Etu7/3801677/SBAS/TME8
# Date:            Tue Apr  4 15:53:34 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1g41a_c.37.1.20     -            443 d1a5ta2c.37.1.20.aln -            299  1.3e-140  463.0   8.4   1   1  5.4e-142  1.8e-140  462.6   8.4     1   299     6   428     6   428 1.00 -
d1um8a_c.37.1.20     -            364 d1a5ta2c.37.1.20.aln -            299     5e-95  313.4   4.6   1   1   1.7e-96   5.6e-95  313.2   4.6     1   299     9   357     9   357 0.99 -
d2p65a_c.37.1.20     -            185 d1a5ta2c.37.1.20.aln -            299     2e-60  199.8   1.7   1   1   6.8e-62   2.2e-60  199.6   1.7     2   198     1   184     1   185 0.99 -
d1svma_c.37.1.20     -            362 d1a5ta2c.37.1.20.aln -            299   1.2e-50  167.7   0.0   1   1     4e-52   1.3e-50  167.6   0.0     2   298     2   352     1   353 0.99 -
d1iqpa2c.37.1.20     -            231 d1a5ta2c.37.1.20.aln -            299   4.1e-43  143.0   0.3   1   1   1.6e-44   5.2e-43  142.6   0.3     4   239     7   226     5   230 0.97 -
d1r6bx3c.37.1.20     -            315 d1a5ta2c.37.1.20.aln -            299   2.1e-42  140.6   0.1   1   1   7.9e-44   2.6e-42  140.3   0.1     3   295     4   302     2   305 0.98 -
d1lv7a_c.37.1.20     -            256 d1a5ta2c.37.1.20.aln -            299   8.5e-36  118.9   0.0   1   1     3e-37     1e-35  118.7   0.0    28   256    26   254    14   256 0.95 -
d1sxja2c.37.1.20     -            253 d1a5ta2c.37.1.20.aln -            299   1.3e-35  118.3   0.0   1   1   4.5e-37   1.5e-35  118.1   0.0     8   247     1   250     1   253 0.98 -
d1njfa_c.37.1.20     -            239 d1a5ta2c.37.1.20.aln -            299   5.9e-29   96.5   0.0   1   1   2.2e-30   7.1e-29   96.2   0.0    11   232     2   225     1   236 0.95 -
d1g8pa_c.37.1.20     -            333 d1a5ta2c.37.1.20.aln -            299   5.9e-28   93.2   0.0   1   2    0.0029     0.096    7.1   0.0    47    68    31    52    19    54 0.92 -
d1g8pa_c.37.1.20     -            333 d1a5ta2c.37.1.20.aln -            299   5.9e-28   93.2   0.0   2   2   6.3e-27   2.1e-25   84.8   0.0    45   298    54   316    50   317 0.97 -
d1in4a2c.37.1.20     -            238 d1a5ta2c.37.1.20.aln -            299   1.1e-21   72.6   5.0   1   1   5.5e-21   1.8e-19   65.3   5.0    15   250     3   233     1   237 0.96 -
d1fnna2c.37.1.20     -            276 d1a5ta2c.37.1.20.aln -            299   1.2e-21   72.4   0.0   1   1   4.7e-23   1.6e-21   72.1   0.0     6   267     4   275     1   276 0.96 -
d2a5yb3c.37.1.20     -            277 d1a5ta2c.37.1.20.aln -            299   9.7e-18   59.6   0.0   1   1   3.5e-19   1.2e-17   59.4   0.0     5   284     5   273     2   277 0.98 -
d1w5sa2c.37.1.20     -            287 d1a5ta2c.37.1.20.aln -            299   2.7e-17   58.1   0.1   1   1   9.1e-19     3e-17   58.0   0.1     4   278     2   281     1   287 0.94 -
d1ny5a2c.37.1.20     -            247 d1a5ta2c.37.1.20.aln -            299   3.5e-17   57.8   0.3   1   1   1.3e-18   4.2e-17   57.5   0.3    24   244     7   224     1   245 0.92 -
d1d2na_c.37.1.20     -            246 d1a5ta2c.37.1.20.aln -            299     7e-17   56.8   0.0   1   1   2.3e-18   7.5e-17   56.7   0.0    12   252    11   243     1   246 0.87 -
d2fnaa2c.37.1.20     -            283 d1a5ta2c.37.1.20.aln -            299   8.6e-16   53.2   0.1   1   1   2.8e-17   9.3e-16   53.1   0.1    17   286     8   279     1   283 0.94 -
d1u0ja_c.37.1.20     -            267 d1a5ta2c.37.1.20.aln -            299   9.1e-10   33.4   0.0   1   1   3.5e-11   1.1e-09   33.1   0.0     7   270     5   264     1   266 0.96 -
d1l8qa2c.37.1.20     -            213 d1a5ta2c.37.1.20.aln -            299   2.7e-09   31.9   0.2   1   2   5.9e-10   1.9e-08   29.1   0.0    13   136     5   114     2   128 0.90 -
d1l8qa2c.37.1.20     -            213 d1a5ta2c.37.1.20.aln -            299   2.7e-09   31.9   0.2   2   2      0.25       8.1    0.8   0.1   194   224   162   192   144   212 0.60 -
d1jqlb_c.37.1.20     -            140 d1a5ta2c.37.1.20.aln -            299   2.5e-05   18.9   0.0   1   1   8.5e-07   2.8e-05   18.7   0.0    25   163     4   132     2   140 0.88 -
d1y63a_c.37.1.1      -            174 d1a5ta2c.37.1.20.aln -            299   3.3e-05   18.5   0.1   1   3     1e-06   3.3e-05   18.5   0.1    46    71     7    32     4    45 0.87 -
d1y63a_c.37.1.1      -            174 d1a5ta2c.37.1.20.aln -            299   3.3e-05   18.5   0.1   2   3       2.8        92   -2.7   0.0     6    21    53    68    51    70 0.84 -
d1y63a_c.37.1.1      -            174 d1a5ta2c.37.1.20.aln -            299   3.3e-05   18.5   0.1   3   3       1.6        52   -1.9   0.3   171   179   132   140   111   171 0.53 -
d1tuea_c.37.1.20     -            205 d1a5ta2c.37.1.20.aln -            299   8.2e-05   17.2   0.0   1   1   5.1e-06   0.00017   16.2   0.0    14   168    10   149     1   205 0.82 -
d2gnoa2c.37.1.20     -            198 d1a5ta2c.37.1.20.aln -            299   0.00089   13.8   0.1   1   1   2.9e-05   0.00095   13.7   0.1    34   216    10   175     1   197 0.70 -
d1ly1a_c.37.1.1      -            152 d1a5ta2c.37.1.20.aln -            299    0.0056   11.2   0.0   1   1   0.00023    0.0077   10.7   0.0    44    62     2    20     1    25 0.91 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels95/d1a5ta2c.37.1.20.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels95/d1a5ta2c.37.1.20.out -E 1 hmmModels95/d1a5ta2c.37.1.20.hmm scop/scopTestSeq.fasta 
# Current dir:     /users/nfs/Etu7/3801677/SBAS/TME8
# Date:            Tue Apr  4 15:53:34 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1d7qa_b.40.4.5      -            143 d1a62a2b.40.4.5.aln  -             92     4e-20   67.6   0.7   1   2   1.7e-21   5.6e-20   67.2   0.1     2    91    19   112    18   113 0.97 -
d1d7qa_b.40.4.5      -            143 d1a62a2b.40.4.5.aln  -             92     4e-20   67.6   0.7   2   2       9.5   3.1e+02   -2.4   0.1    57    75   118   136   115   138 0.63 -
d2vnud3b.40.4.5      -            148 d1a62a2b.40.4.5.aln  -             92   7.1e-19   63.6   0.0   1   1   2.8e-20   9.1e-19   63.3   0.0     1    92    23   119    23   119 0.98 -
d2nn6i1b.40.4.5      -            125 d1a62a2b.40.4.5.aln  -             92   1.1e-18   63.1   0.0   1   1   3.8e-20   1.3e-18   62.8   0.0     3    90     2    93     1    95 0.96 -
d2uubl1b.40.4.5      -            118 d1a62a2b.40.4.5.aln  -             92   2.9e-18   61.7   2.1   1   1   8.9e-20   2.9e-18   61.7   1.3     2    91    22   105    21   106 0.96 -
d1rl2a2b.40.4.5      -             66 d1a62a2b.40.4.5.aln  -             92     3e-15   52.0   0.3   1   1   9.7e-17   3.2e-15   51.9   0.3    26    90     2    64     1    66 0.97 -
d2uubq1b.40.4.5      -            100 d1a62a2b.40.4.5.aln  -             92   1.3e-14   50.0   1.9   1   1   4.9e-16   1.6e-14   49.7   1.9     7    89     3    83     1    86 0.96 -
d1wi5a_b.40.4.5      -            119 d1a62a2b.40.4.5.aln  -             92   7.4e-12   41.2   0.0   1   1   2.6e-13   8.4e-12   41.0   0.0     3    90    16   108    14   110 0.95 -
d1kl9a2b.40.4.5      -             86 d1a62a2b.40.4.5.aln  -             92   1.4e-11   40.3   0.7   1   1   4.8e-13   1.6e-11   40.1   0.7     1    85     6    86     6    86 0.94 -
d1go3e1b.40.4.5      -            106 d1a62a2b.40.4.5.aln  -             92   5.5e-11   38.4   0.5   1   1     2e-12   6.6e-11   38.1   0.5     6    82     1    81     1    90 0.90 -
d3bzka4b.40.4.5      -             94 d1a62a2b.40.4.5.aln  -             92   8.8e-11   37.7   0.6   1   1     3e-12   9.7e-11   37.6   0.6     2    88    12    92    11    94 0.90 -
d1jt8a_b.40.4.5      -            102 d1a62a2b.40.4.5.aln  -             92   5.9e-09   31.9   1.2   1   1   2.3e-10   7.7e-09   31.5   1.2     3    89     9   100     7   101 0.95 -
d2ja9a1b.40.4.5      -             90 d1a62a2b.40.4.5.aln  -             92   1.7e-08   30.4   0.0   1   1   6.3e-10   2.1e-08   30.1   0.0     2    82     1    75     1    84 0.93 -
d2je6i1b.40.4.5      -             87 d1a62a2b.40.4.5.aln  -             92   2.7e-08   29.8   0.8   1   1     9e-10     3e-08   29.6   0.8     3    89     2    85     1    87 0.93 -
d2nn6h1b.40.4.5      -             95 d1a62a2b.40.4.5.aln  -             92   1.2e-07   27.7   0.0   1   1   4.3e-09   1.4e-07   27.5   0.0     3    84     3    87     1    91 0.88 -
d1e3pa2b.40.4.5      -             62 d1a62a2b.40.4.5.aln  -             92   1.3e-06   24.4   0.2   1   1   4.1e-08   1.3e-06   24.3   0.2    14    74     1    59     1    62 0.95 -
d1c9oa_b.40.4.5      -             66 d1a62a2b.40.4.5.aln  -             92   1.9e-06   23.9   0.1   1   1   6.3e-08   2.1e-06   23.7   0.1    13    78     3    60     1    65 0.91 -
d1smxa_b.40.4.5      -             87 d1a62a2b.40.4.5.aln  -             92   4.2e-06   22.8   0.0   1   1   1.4e-07   4.6e-06   22.6   0.0    11    82     3    79     2    87 0.89 -
d1luza_b.40.4.5      -             85 d1a62a2b.40.4.5.aln  -             92   1.2e-05   21.2   0.6   1   1   4.3e-07   1.4e-05   21.1   0.6     6    88     6    83     2    85 0.93 -
d2asba1b.40.4.5      -             76 d1a62a2b.40.4.5.aln  -             92   2.4e-05   20.4   0.3   1   1   7.5e-07   2.5e-05   20.3   0.3     5    83     4    74     1    76 0.80 -
d1jjga_b.40.4.5      -            102 d1a62a2b.40.4.5.aln  -             92   3.6e-05   19.8   0.4   1   1   1.5e-06   4.8e-05   19.4   0.4     2    84     8    95     7   101 0.86 -
d1hh2p1b.40.4.5      -             72 d1a62a2b.40.4.5.aln  -             92    0.0002   17.4   0.3   1   1     6e-06    0.0002   17.4   0.3    25    77    13    64     2    72 0.83 -
d1x6oa2b.40.4.5      -             79 d1a62a2b.40.4.5.aln  -             92    0.0008   15.5   0.0   1   1   9.4e-05    0.0031   13.6   0.0     2    85     2    78     1    79 0.84 -
d3i4oa_b.40.4.5      -             68 d1a62a2b.40.4.5.aln  -             92   0.00091   15.3   0.3   1   1   2.9e-05   0.00096   15.2   0.3     8    73     4    67     1    68 0.84 -
d1y14b1b.40.4.5      -             91 d1a62a2b.40.4.5.aln  -             92    0.0024   13.9   0.0   1   1   8.1e-05    0.0026   13.8   0.0     4    90     2    86     1    88 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels95/d1a62a2b.40.4.5.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels95/d1a62a2b.40.4.5.out -E 1 hmmModels95/d1a62a2b.40.4.5.hmm scop/scopTestSeq.fasta 
# Current dir:     /users/nfs/Etu7/3801677/SBAS/TME8
# Date:            Tue Apr  4 15:53:34 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1z6na1c.47.1.1      -            166 d1abaa_c.47.1.1.aln  -            110   1.7e-36  120.0   0.0   1   1   3.8e-38     2e-36  119.7   0.0     1   110    38   153    38   153 0.99 -
d2i4aa_c.47.1.1      -            107 d1abaa_c.47.1.1.aln  -            110   1.3e-35  117.1   0.0   1   1   2.6e-37   1.4e-35  117.1   0.0     5   106     3   104     1   107 0.96 -
d1r26a_c.47.1.1      -            113 d1abaa_c.47.1.1.aln  -            110   2.8e-25   83.9   0.0   1   1   6.1e-27   3.2e-25   83.7   0.0    10   106    14   109     7   113 0.95 -
d1sena_c.47.1.1      -            135 d1abaa_c.47.1.1.aln  -            110   1.7e-22   74.9   0.0   1   1   3.7e-24     2e-22   74.7   0.0     2   109     5   124     4   125 0.97 -
d2fwha_c.47.1.1      -            117 d1abaa_c.47.1.1.aln  -            110     1e-19   66.0   0.1   1   1   2.1e-21   1.1e-19   65.8   0.1     3   109     3   115     1   116 0.94 -
d1zmaa1c.47.1.1      -            115 d1abaa_c.47.1.1.aln  -            110   1.4e-16   55.8   0.0   1   1   3.2e-18   1.7e-16   55.6   0.0     3   107     7   112     5   114 0.95 -
d3gnja_c.47.1.0      -            111 d1abaa_c.47.1.1.aln  -            110   5.4e-14   47.5   0.0   1   1   1.1e-15   5.9e-14   47.4   0.0     8    94     8    94     1   110 0.88 -
d1wjka_c.47.1.1      -            100 d1abaa_c.47.1.1.aln  -            110   1.5e-11   39.7   0.0   1   1   3.6e-13   1.9e-11   39.4   0.0    14   107     7    97     2    99 0.90 -
d3qmxa_c.47.1.0      -             99 d1abaa_c.47.1.1.aln  -            110   1.1e-10   36.8   0.0   1   1   2.4e-12   1.2e-10   36.7   0.0    18   107    15    92     3    95 0.85 -
d2hzfa_c.47.1.0      -            110 d1abaa_c.47.1.1.aln  -            110   1.3e-09   33.4   0.0   1   1   2.8e-11   1.5e-09   33.3   0.0     9   105     6    95     1   100 0.78 -
d1iloa_c.47.1.1      -             77 d1abaa_c.47.1.1.aln  -            110   6.1e-09   31.3   0.1   1   1   1.3e-10   6.7e-09   31.1   0.1    19   100     2    70     1    76 0.86 -
d3feua_c.47.1.0      -            183 d1abaa_c.47.1.1.aln  -            110   7.4e-06   21.4   0.0   1   2     0.008      0.42    6.0   0.0    26    53    24    51    11    59 0.83 -
d3feua_c.47.1.0      -            183 d1abaa_c.47.1.1.aln  -            110   7.4e-06   21.4   0.0   2   2   5.1e-05    0.0027   13.1   0.0    55    99   131   170   122   180 0.74 -
d1ttza_c.47.1.1      -             75 d1abaa_c.47.1.1.aln  -            110   8.1e-06   21.2   0.0   1   1   1.6e-07   8.5e-06   21.2   0.0    26   107     2    73     1    75 0.89 -
d2wcia_c.47.1.0      -            113 d1abaa_c.47.1.1.aln  -            110   8.2e-06   21.2   0.0   1   1   1.9e-07     1e-05   20.9   0.0    32   108    28    96     4    98 0.90 -
d3h93a_c.47.1.0      -            192 d1abaa_c.47.1.1.aln  -            110     0.001   14.5   0.0   1   2     0.047       2.4    3.6   0.0    29    57    32    60    22    63 0.79 -
d3h93a_c.47.1.0      -            192 d1abaa_c.47.1.1.aln  -            110     0.001   14.5   0.0   2   2    0.0012     0.063    8.7   0.0    56    85   132   161   120   182 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels95/d1abaa_c.47.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels95/d1abaa_c.47.1.1.out -E 1 hmmModels95/d1abaa_c.47.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /users/nfs/Etu7/3801677/SBAS/TME8
# Date:            Tue Apr  4 15:53:34 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1jeta_c.94.1.1      -            517 d1al3a_c.94.1.1.aln  -            340  2.3e-111  367.7  14.0   1   1    7e-113  3.1e-111  367.3  14.0     1   340    55   437    55   437 1.00 -
d1vr5a1c.94.1.1      -            535 d1al3a_c.94.1.1.aln  -            340  2.6e-103  341.2  16.9   1   1  1.1e-104  4.6e-103  340.4  16.9     1   340    48   433    48   433 1.00 -
d2nooa_c.94.1.1      -            496 d1al3a_c.94.1.1.aln  -            340   6.9e-76  251.2   0.9   1   1     2e-77   8.9e-76  250.8   0.9     1   340    43   415    43   415 1.00 -
d3vlva_c.94.1.1      -            490 d1al3a_c.94.1.1.aln  -            340   9.2e-74  244.2  13.2   1   1   2.6e-75   1.1e-73  243.9  13.2     1   340    21   409    21   409 0.99 -
d1uqwa_c.94.1.1      -            487 d1al3a_c.94.1.1.aln  -            340   8.3e-72  237.8  11.3   1   1   2.6e-73   1.1e-71  237.3  11.3     2   340    47   404    46   404 1.00 -
d1xoca1c.94.1.1      -            504 d1al3a_c.94.1.1.aln  -            340   1.3e-66  220.7  17.5   1   1   3.6e-68   1.6e-66  220.4  17.5     1   339    49   421    49   422 0.99 -
d1eu8a_c.94.1.1      -            407 d1al3a_c.94.1.1.aln  -            340   1.5e-49  164.7  11.2   1   1   3.8e-51   1.7e-49  164.5  11.2     1   339     5   385     5   386 0.99 -
d1ursa_c.94.1.1      -            367 d1al3a_c.94.1.1.aln  -            340   3.8e-40  133.8  10.8   1   1     1e-41   4.5e-40  133.6  10.8     3   330     5   337     3   349 0.97 -
d1nnfa_c.94.1.1      -            308 d1al3a_c.94.1.1.aln  -            340   5.1e-32  107.1  10.8   1   1   1.3e-33   5.6e-32  107.0  10.8     4   328     2   306     1   308 0.97 -
d1q35a_c.94.1.1      -            318 d1al3a_c.94.1.1.aln  -            340   5.7e-30  100.4   3.2   1   1   1.6e-31   6.9e-30  100.1   3.2     3   335     3   317     2   318 0.97 -
d1pb7a_c.94.1.1      -            289 d1al3a_c.94.1.1.aln  -            340   1.8e-22   75.7   0.0   1   1   4.6e-24     2e-22   75.6   0.0    46   324     4   286     1   289 0.97 -
d3thia_c.94.1.1      -            362 d1al3a_c.94.1.1.aln  -            340   1.3e-21   72.9   0.1   1   1   3.4e-23   1.5e-21   72.7   0.1     2   335     4   337     3   341 0.93 -
d1sbpa_c.94.1.1      -            309 d1al3a_c.94.1.1.aln  -            340   1.2e-10   37.0  10.8   1   1   3.7e-12   1.6e-10   36.5  10.8     5   339     7   308     4   309 0.91 -
d1r9la_c.94.1.1      -            309 d1al3a_c.94.1.1.aln  -            340   2.1e-10   36.2  12.8   1   1   5.4e-12   2.4e-10   36.0  12.8     8   337     5   307     2   309 0.93 -
d2nxoa1c.94.1.1      -            277 d1al3a_c.94.1.1.aln  -            340   4.3e-08   28.5   0.0   1   1   1.2e-09   5.4e-08   28.2   0.0    83   320    47   270    29   276 0.95 -
d2i6ea1c.94.1.1      -            272 d1al3a_c.94.1.1.aln  -            340   2.6e-06   22.7   0.0   1   1   6.9e-08     3e-06   22.5   0.0    47   316    15   259     1   265 0.90 -
d1sw5a_c.94.1.1      -            270 d1al3a_c.94.1.1.aln  -            340   7.5e-05   17.9   5.0   1   1     2e-06   8.8e-05   17.7   5.0    60   305    26   235     5   253 0.93 -
d1atga_c.94.1.1      -            231 d1al3a_c.94.1.1.aln  -            340   0.00063   14.9   1.1   1   1   1.8e-05   0.00079   14.5   1.1   144   330    51   227     4   230 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels95/d1al3a_c.94.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels95/d1al3a_c.94.1.1.out -E 1 hmmModels95/d1al3a_c.94.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /users/nfs/Etu7/3801677/SBAS/TME8
