#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d2a5yb3c.37.1.20     -            277 d1a5ta2c.37.1.20.aln -            280   1.8e-44  147.5   0.0   1   1   6.1e-46     2e-44  147.3   0.0     2   274     6   276     5   277 0.98 -
d1in4a2c.37.1.20     -            238 d1a5ta2c.37.1.20.aln -            280   8.2e-40  132.2   2.6   1   1   2.8e-41   9.1e-40  132.1   2.6    11   261     3   238     1   238 0.99 -
d1fnna2c.37.1.20     -            276 d1a5ta2c.37.1.20.aln -            280   3.3e-39  130.2   0.0   1   1   1.1e-40   3.7e-39  130.1   0.0     2   279     4   272     3   273 0.97 -
d1iqpa2c.37.1.20     -            231 d1a5ta2c.37.1.20.aln -            280   7.1e-39  129.1   0.2   1   1   2.4e-40     8e-39  129.0   0.2     2   271     9   229     8   231 0.97 -
d1lv7a_c.37.1.20     -            256 d1a5ta2c.37.1.20.aln -            280   1.9e-38  127.7   0.0   1   1   6.4e-40   2.1e-38  127.6   0.0     6   274     1   255     1   256 0.98 -
d1sxja2c.37.1.20     -            253 d1a5ta2c.37.1.20.aln -            280   3.8e-37  123.5   0.0   1   1   1.3e-38   4.2e-37  123.3   0.0     5   278     2   252     1   253 0.98 -
d1njfa_c.37.1.20     -            239 d1a5ta2c.37.1.20.aln -            280   3.9e-37  123.4   0.0   1   1   1.3e-38   4.3e-37  123.3   0.0     7   274     2   238     1   239 0.97 -
d1u0ja_c.37.1.20     -            267 d1a5ta2c.37.1.20.aln -            280   1.3e-36  121.8   0.0   1   1   4.2e-38   1.4e-36  121.6   0.0     2   279     3   265     2   266 0.98 -
d1w5sa2c.37.1.20     -            287 d1a5ta2c.37.1.20.aln -            280   3.3e-35  117.1   0.0   1   1   1.1e-36   3.6e-35  117.0   0.0     1   279     3   286     3   287 0.98 -
d2fnaa2c.37.1.20     -            283 d1a5ta2c.37.1.20.aln -            280   1.4e-33  111.7   1.7   1   1   4.8e-35   1.6e-33  111.6   1.7     2   278     4   279     3   281 0.98 -
d1d2na_c.37.1.20     -            246 d1a5ta2c.37.1.20.aln -            280   1.5e-30  101.8   0.0   1   1     5e-32   1.6e-30  101.7   0.0     3   277     2   241     1   244 0.97 -
d1ny5a2c.37.1.20     -            247 d1a5ta2c.37.1.20.aln -            280   1.4e-20   69.1   0.1   1   1   4.7e-22   1.6e-20   69.0   0.1     2   273     3   246     2   247 0.98 -
d1l8qa2c.37.1.20     -            213 d1a5ta2c.37.1.20.aln -            280   2.4e-19   65.0   1.8   1   1   1.5e-20   4.8e-19   64.1   1.8     7   273     3   212     1   213 0.93 -
d2p65a_c.37.1.20     -            185 d1a5ta2c.37.1.20.aln -            280   3.7e-16   54.6   0.5   1   1   1.2e-16   3.8e-15   51.3   0.5     2   237     5   183     4   185 0.95 -
d1tuea_c.37.1.20     -            205 d1a5ta2c.37.1.20.aln -            280   2.4e-15   52.0   0.0   1   1   9.7e-17   3.2e-15   51.5   0.0     8   273     4   205     1   205 0.97 -
d2gnoa2c.37.1.20     -            198 d1a5ta2c.37.1.20.aln -            280   8.3e-09   30.5   0.1   1   1   7.6e-10   2.5e-08   28.9   0.1     6   273     4   197     1   198 0.85 -
d2qora_c.37.1.0      -            196 d1a5ta2c.37.1.20.aln -            280   1.1e-05   20.2   0.6   1   1   5.8e-07   1.9e-05   19.5   0.6    51   196    11   194     5   194 0.75 -
d1jqlb_c.37.1.20     -            140 d1a5ta2c.37.1.20.aln -            280   2.9e-05   18.9   0.0   1   1   4.7e-06   0.00015   16.5   0.0   109   241    46   136    10   140 0.90 -
d1y63a_c.37.1.1      -            174 d1a5ta2c.37.1.20.aln -            280   0.00056   14.7   0.1   1   2     8e-05    0.0026   12.4   0.0    46    69     7    30     6    34 0.94 -
d1y63a_c.37.1.1      -            174 d1a5ta2c.37.1.20.aln -            280   0.00056   14.7   0.1   2   2      0.77        25   -0.6   0.0    13    27    52    66    46    75 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels30/d1a5ta2c.37.1.20.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels30/d1a5ta2c.37.1.20.out -E 1 hmmModels30/d1a5ta2c.37.1.20.hmm scop/scopTestSeq.fasta 
# Current dir:     /home/anastasia/SBAS/TME8
# Date:            Sat Apr  8 15:33:42 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1d7qa_b.40.4.5      -            143 d1a62a2b.40.4.5.aln  -             90   1.3e-29   97.8   0.4   1   1   5.1e-31   1.3e-29   97.8   0.4     1    89    11   102    11   103 0.98 -
d2vnud3b.40.4.5      -            148 d1a62a2b.40.4.5.aln  -             90   1.5e-27   91.2   0.0   1   1     1e-28   2.5e-27   90.5   0.0     1    89    13   107    13   108 0.98 -
d2nn6i1b.40.4.5      -            125 d1a62a2b.40.4.5.aln  -             90   7.3e-20   66.7   0.1   1   1   3.4e-21   8.5e-20   66.5   0.1     2    89     2    94     1    95 0.97 -
d3bzka4b.40.4.5      -             94 d1a62a2b.40.4.5.aln  -             90   1.4e-18   62.6   1.0   1   1   6.4e-20   1.6e-18   62.4   1.0     1    80    12    86    12    91 0.94 -
d1jt8a_b.40.4.5      -            102 d1a62a2b.40.4.5.aln  -             90   1.7e-18   62.3   0.3   1   1   7.5e-20   1.8e-18   62.2   0.3     4    89     3    91     1    92 0.96 -
d1go3e1b.40.4.5      -            106 d1a62a2b.40.4.5.aln  -             90     1e-13   47.0   0.5   1   1     5e-15   1.2e-13   46.8   0.5     5    89     1    90     1    91 0.98 -
d1wi5a_b.40.4.5      -            119 d1a62a2b.40.4.5.aln  -             90   5.8e-13   44.6   0.1   1   1   2.7e-14   6.6e-13   44.4   0.1     7    87    12    98     6   101 0.73 -
d2je6i1b.40.4.5      -             87 d1a62a2b.40.4.5.aln  -             90   1.2e-12   43.6   0.9   1   1   5.5e-14   1.4e-12   43.4   0.9     1    89     1    87     1    87 0.97 -
d1luza_b.40.4.5      -             85 d1a62a2b.40.4.5.aln  -             90   1.6e-12   43.2   0.4   1   1     7e-14   1.7e-12   43.1   0.4     3    87     4    84     2    85 0.96 -
d1y14b1b.40.4.5      -             91 d1a62a2b.40.4.5.aln  -             90     2e-12   42.9   0.0   1   1   8.5e-14   2.1e-12   42.8   0.0     5    87     1    89     1    91 0.97 -
d2uubq1b.40.4.5      -            100 d1a62a2b.40.4.5.aln  -             90   7.3e-12   41.1   1.8   1   1   3.7e-13     9e-12   40.8   1.8     8    89     2    82     1    83 0.97 -
d1kl9a2b.40.4.5      -             86 d1a62a2b.40.4.5.aln  -             90   1.9e-11   39.8   1.5   1   1   8.5e-13   2.1e-11   39.6   1.5     1    83     7    86     7    86 0.96 -
d2ja9a1b.40.4.5      -             90 d1a62a2b.40.4.5.aln  -             90   7.3e-11   37.9   0.0   1   1   3.2e-12     8e-11   37.8   0.0     2    88     2    83     1    85 0.97 -
d2nn6h1b.40.4.5      -             95 d1a62a2b.40.4.5.aln  -             90   2.3e-09   33.1   0.1   1   1   1.1e-10   2.8e-09   32.9   0.1     2    84     3    90     2    94 0.95 -
d2vnud2b.40.4.5      -             88 d1a62a2b.40.4.5.aln  -             90   5.5e-09   31.9   0.5   1   1   2.5e-10   6.1e-09   31.8   0.5     7    84     9    85     3    87 0.94 -
d1smxa_b.40.4.5      -             87 d1a62a2b.40.4.5.aln  -             90   1.2e-08   30.9   0.0   1   1   5.1e-10   1.3e-08   30.8   0.0    10    87     3    86     1    87 0.95 -
d1e3pa2b.40.4.5      -             62 d1a62a2b.40.4.5.aln  -             90   1.2e-08   30.8   0.3   1   1   5.4e-10   1.3e-08   30.7   0.3    13    74     1    61     1    62 0.96 -
d2uubl1b.40.4.5      -            118 d1a62a2b.40.4.5.aln  -             90   1.4e-08   30.6   1.7   1   1     7e-10   1.7e-08   30.3   1.7     2    89     6    99     5   100 0.97 -
d2ix0a3b.40.4.5      -             87 d1a62a2b.40.4.5.aln  -             90   6.9e-08   28.4   0.1   1   1     3e-09   7.5e-08   28.3   0.1    12    88     8    85     2    87 0.95 -
d1jjga_b.40.4.5      -            102 d1a62a2b.40.4.5.aln  -             90   9.3e-08   28.0   0.4   1   1   4.2e-09     1e-07   27.8   0.4     1    88     8   101     8   102 0.98 -
d2asba1b.40.4.5      -             76 d1a62a2b.40.4.5.aln  -             90   9.8e-08   27.9   0.1   1   1   4.3e-09   1.1e-07   27.8   0.1     6    82     3    75     1    76 0.95 -
d2ix0a1b.40.4.5      -             90 d1a62a2b.40.4.5.aln  -             90   1.5e-07   27.3   0.0   1   1   6.6e-09   1.6e-07   27.2   0.0     3    89     3    87     1    88 0.96 -
d1hh2p1b.40.4.5      -             72 d1a62a2b.40.4.5.aln  -             90   7.4e-07   25.1   0.4   1   1   4.2e-08     1e-06   24.7   0.4     6    79     7    68     3    72 0.89 -
d1bkba2b.40.4.5      -             65 d1a62a2b.40.4.5.aln  -             90   1.1e-06   24.5   0.2   1   1   4.7e-08   1.2e-06   24.5   0.2    10    78     2    64     1    65 0.92 -
d1t9ha1b.40.4.5      -             67 d1a62a2b.40.4.5.aln  -             90   1.2e-06   24.5   0.1   1   1   4.8e-08   1.2e-06   24.5   0.1    11    76     2    61     1    67 0.91 -
d2vnud1b.40.4.5      -             95 d1a62a2b.40.4.5.aln  -             90   1.3e-06   24.3   0.0   1   1   5.7e-08   1.4e-06   24.2   0.0     1    88     1    94     1    95 0.94 -
d1wfqa_b.40.4.5      -             89 d1a62a2b.40.4.5.aln  -             90     9e-06   21.7   0.0   1   1   3.7e-07     9e-06   21.7   0.0    36    89    35    88     4    89 0.75 -
d1khia2b.40.4.5      -             71 d1a62a2b.40.4.5.aln  -             90   6.9e-05   18.8   0.1   1   1   3.2e-06   7.8e-05   18.7   0.1     3    72     2    68     1    71 0.88 -
d1u0la1b.40.4.5      -             66 d1a62a2b.40.4.5.aln  -             90   0.00024   17.1   0.2   1   1   9.6e-06   0.00024   17.1   0.2    14    72     4    56     1    66 0.86 -
d3i4oa_b.40.4.5      -             68 d1a62a2b.40.4.5.aln  -             90   0.00025   17.1   0.1   1   1   1.1e-05   0.00027   17.0   0.1    11    81     3    67     1    68 0.88 -
d1x6oa2b.40.4.5      -             79 d1a62a2b.40.4.5.aln  -             90   0.00052   16.0   0.0   1   1   2.2e-05   0.00054   16.0   0.0    10    76     8    71     2    79 0.88 -
d2ix0a2b.40.4.5      -             79 d1a62a2b.40.4.5.aln  -             90   0.00061   15.8   0.0   1   1   2.7e-05   0.00066   15.7   0.0    10    83     8    77     2    79 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels30/d1a62a2b.40.4.5.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels30/d1a62a2b.40.4.5.out -E 1 hmmModels30/d1a62a2b.40.4.5.hmm scop/scopTestSeq.fasta 
# Current dir:     /home/anastasia/SBAS/TME8
# Date:            Sat Apr  8 15:33:42 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1z6na1c.47.1.1      -            166 d1abaa_c.47.1.1.aln  -            116   3.8e-52  170.6   0.0   1   1     7e-54   4.6e-52  170.3   0.0     1   116    30   144    30   144 0.99 -
d1sena_c.47.1.1      -            135 d1abaa_c.47.1.1.aln  -            116   1.7e-39  129.8   0.0   1   1   3.1e-41     2e-39  129.6   0.0     2   116     2   117     1   117 0.98 -
d1r26a_c.47.1.1      -            113 d1abaa_c.47.1.1.aln  -            116   3.6e-32  106.2   0.0   1   1     6e-34     4e-32  106.0   0.0     2   116     3   113     2   113 0.98 -
d2fwha_c.47.1.1      -            117 d1abaa_c.47.1.1.aln  -            116   9.1e-32  104.9   0.0   1   1   1.5e-33     1e-31  104.7   0.0     4   116     1   116     1   116 0.98 -
d1zmaa1c.47.1.1      -            115 d1abaa_c.47.1.1.aln  -            116   1.6e-31  104.1   0.0   1   1   2.6e-33   1.7e-31  104.0   0.0     2   112     3   114     2   115 0.98 -
d2i4aa_c.47.1.1      -            107 d1abaa_c.47.1.1.aln  -            116   4.9e-31  102.5   0.0   1   1     8e-33   5.3e-31  102.4   0.0     7   115     2   107     1   107 0.98 -
d1wjka_c.47.1.1      -            100 d1abaa_c.47.1.1.aln  -            116   1.8e-24   81.4   0.0   1   1   2.9e-26   1.9e-24   81.3   0.0    12   114     2    98     1   100 0.97 -
d1iloa_c.47.1.1      -             77 d1abaa_c.47.1.1.aln  -            116   1.2e-16   56.1   0.0   1   1     2e-18   1.3e-16   56.0   0.0    27   107     1    75     1    77 0.94 -
d1ttza_c.47.1.1      -             75 d1abaa_c.47.1.1.aln  -            116     2e-13   45.8   0.0   1   1   3.5e-15   2.3e-13   45.5   0.0    29   111     2    75     1    75 0.95 -
d3gnja_c.47.1.0      -            111 d1abaa_c.47.1.1.aln  -            116   8.4e-09   30.8   0.0   1   1   1.5e-10   9.8e-09   30.6   0.0    14    99    11    93     3   106 0.87 -
d3qmxa_c.47.1.0      -             99 d1abaa_c.47.1.1.aln  -            116   0.00051   15.4   0.0   1   1     1e-05   0.00068   15.0   0.0    32    95    21    80    18    90 0.80 -
d3h93a_c.47.1.0      -            192 d1abaa_c.47.1.1.aln  -            116    0.0013   14.1   0.0   1   2    0.0056      0.37    6.2   0.0    36    63    36    63    26    66 0.91 -
d3h93a_c.47.1.0      -            192 d1abaa_c.47.1.1.aln  -            116    0.0013   14.1   0.0   2   2    0.0078      0.51    5.7   0.0    51    90   122   160   115   169 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels30/d1abaa_c.47.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels30/d1abaa_c.47.1.1.out -E 1 hmmModels30/d1abaa_c.47.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /home/anastasia/SBAS/TME8
# Date:            Sat Apr  8 15:33:42 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1vr5a1c.94.1.1      -            535 d1al3a_c.94.1.1.aln  -            338  6.2e-126  415.6  11.9   1   1  2.7e-127  7.3e-126  415.4  11.9     1   338    51   466    51   466 1.00 -
d1jeta_c.94.1.1      -            517 d1al3a_c.94.1.1.aln  -            338    1e-121  401.8  15.3   1   1  4.4e-123  1.2e-121  401.5  15.3     1   338    58   462    58   462 1.00 -
d1uqwa_c.94.1.1      -            487 d1al3a_c.94.1.1.aln  -            338   4.5e-96  317.4  12.5   1   2       2.1        58   -1.8   0.1    22    55    10    40     4    43 0.61 -
d1uqwa_c.94.1.1      -            487 d1al3a_c.94.1.1.aln  -            338   4.5e-96  317.4  12.5   2   2   1.7e-97   4.5e-96  317.4  12.5     2   337    50   440    49   441 0.99 -
d1xoca1c.94.1.1      -            504 d1al3a_c.94.1.1.aln  -            338   4.2e-93  307.7  17.4   1   1   1.9e-94   5.3e-93  307.4  17.4     2   338    53   449    52   449 0.99 -
d2nooa_c.94.1.1      -            496 d1al3a_c.94.1.1.aln  -            338   1.7e-86  285.9   1.7   1   1   7.6e-88   2.1e-86  285.7   1.7     1   338    46   444    46   444 1.00 -
d3vlva_c.94.1.1      -            490 d1al3a_c.94.1.1.aln  -            338   1.5e-79  263.1  10.4   1   1     7e-81   1.9e-79  262.8  10.4     2   338    41   436    40   436 0.99 -
d1eu8a_c.94.1.1      -            407 d1al3a_c.94.1.1.aln  -            338     3e-67  222.7   7.1   1   1   1.3e-68   3.4e-67  222.5   7.1     3   335     3   373     1   376 0.99 -
d1ursa_c.94.1.1      -            367 d1al3a_c.94.1.1.aln  -            338   1.2e-57  191.1   9.8   1   1   5.2e-59   1.4e-57  190.9   9.8     4   337     2   339     1   340 0.99 -
d3thia_c.94.1.1      -            362 d1al3a_c.94.1.1.aln  -            338   2.2e-46  154.1   0.1   1   1   9.2e-48   2.5e-46  153.9   0.1     4   333     2   343     1   348 0.99 -
d1r9la_c.94.1.1      -            309 d1al3a_c.94.1.1.aln  -            338   2.1e-35  118.0  11.2   1   1   8.8e-37   2.4e-35  117.8  11.2     5   333     7   308     4   309 0.99 -
d1ixha_c.94.1.1      -            321 d1al3a_c.94.1.1.aln  -            338   2.1e-35  118.0  12.1   1   1   8.9e-37   2.4e-35  117.8  12.1     8   331     8   317     2   321 0.97 -
d1nnfa_c.94.1.1      -            308 d1al3a_c.94.1.1.aln  -            338   3.3e-35  117.4  12.0   1   1   1.4e-36   3.9e-35  117.1  12.0     5   332     2   304     1   307 0.98 -
d1sbpa_c.94.1.1      -            309 d1al3a_c.94.1.1.aln  -            338   1.9e-34  114.9  10.1   1   1   7.9e-36   2.1e-34  114.7  10.1     3   311     4   309     2   309 0.98 -
d1pb7a_c.94.1.1      -            289 d1al3a_c.94.1.1.aln  -            338   2.9e-33  111.0   0.0   1   1   1.2e-34   3.2e-33  110.9   0.0     5   337     3   288     1   289 0.99 -
d1q35a_c.94.1.1      -            318 d1al3a_c.94.1.1.aln  -            338   6.4e-33  109.9   1.7   1   1   2.8e-34   7.6e-33  109.6   1.7     4   328     3   304     1   313 0.98 -
d2nxoa1c.94.1.1      -            277 d1al3a_c.94.1.1.aln  -            338   5.7e-29   96.9   0.0   1   1   2.4e-30   6.5e-29   96.7   0.0     7   274     4   267     1   274 0.92 -
d1us5a_c.94.1.1      -            298 d1al3a_c.94.1.1.aln  -            338   4.1e-25   84.2   0.0   1   1   1.8e-26     5e-25   83.9   0.0     5   335     5   296     2   298 0.98 -
d2czla1c.94.1.1      -            270 d1al3a_c.94.1.1.aln  -            338   3.2e-24   81.3   0.0   1   1   1.3e-25   3.6e-24   81.1   0.0     9   280     5   265     2   270 0.97 -
d1sw5a_c.94.1.1      -            270 d1al3a_c.94.1.1.aln  -            338   6.3e-23   77.0   3.0   1   1   2.5e-24   6.9e-23   76.9   3.0     6   310     3   266     1   270 0.97 -
